Region,Country,Sex,Year,Obesity,Raised BP,Diabetes
North America,United States of America,Male,1980,0.123313578,0.269621702,0.046596749
North America,United States of America,Male,1981,0.126925543,0.263134592,0.047243754
North America,United States of America,Male,1982,0.13059273,0.256699673,0.047963594
North America,United States of America,Male,1983,0.134516007,0.250487231,0.048793404
North America,United States of America,Male,1984,0.138816879,0.244419062,0.049725563
North America,United States of America,Male,1985,0.14339424,0.238605848,0.05075073
North America,United States of America,Male,1986,0.148158268,0.232990087,0.051837826
North America,United States of America,Male,1987,0.153181275,0.227468908,0.052975321
North America,United States of America,Male,1988,0.158433911,0.222109849,0.054166088
North America,United States of America,Male,1989,0.163925193,0.216903001,0.05541876
North America,United States of America,Male,1990,0.169628235,0.211804602,0.056699552
North America,United States of America,Male,1991,0.175420291,0.206928949,0.058035132
North America,United States of America,Male,1992,0.181487183,0.202293031,0.059406382
North America,United States of America,Male,1993,0.187733473,0.197942227,0.060801729
North America,United States of America,Male,1994,0.194221424,0.193904907,0.062224296
North America,United States of America,Male,1995,0.200871469,0.190125712,0.063644935
North America,United States of America,Male,1996,0.207704296,0.186612216,0.065073424
North America,United States of America,Male,1997,0.214762985,0.183334062,0.06644578
North America,United States of America,Male,1998,0.222026666,0.180388214,0.067797662
North America,United States of America,Male,1999,0.229522934,0.177710356,0.069118784
North America,United States of America,Male,2000,0.237149618,0.175225703,0.070364508
North America,United States of America,Male,2001,0.244646813,0.172905366,0.071537811
North America,United States of America,Male,2002,0.25206376,0.170788217,0.072625193
North America,United States of America,Male,2003,0.259513574,0.168916624,0.073639687
North America,United States of America,Male,2004,0.267021194,0.167226475,0.074584509
North America,United States of America,Male,2005,0.274508265,0.165819942,0.075481783
North America,United States of America,Male,2006,0.2819435,0.164623627,0.076343836
North America,United States of America,Male,2007,0.289220327,0.163364487,0.077101393
North America,United States of America,Male,2008,0.296157566,0.161994758,0.077762653
North America,United States of America,Male,2009,0.302577293,0.160572814,0.078360729
North America,United States of America,Male,2010,0.309017792,0.159119558,0.078955087
North America,United States of America,Male,2011,0.315493025,0.157765264,0.079658472
North America,United States of America,Male,2012,0.322143329,0.15653492,0.080307043
North America,United States of America,Male,2013,0.328891817,0.155337603,0.080987421
North America,United States of America,Male,2014,0.335848048,0.154184255,0.081696543
North America,United States of America,Female,1980,0.155055934,0.195001432,0.043209435
North America,United States of America,Female,1981,0.155055934,0.189610423,0.043492911
North America,United States of America,Female,1982,0.163795313,0.18450334,0.043835375
North America,United States of America,Female,1983,0.168376064,0.179672814,0.044254559
North America,United States of America,Female,1984,0.173474587,0.17506479,0.044770935
North America,United States of America,Female,1985,0.178783247,0.170736628,0.045342138
North America,United States of America,Female,1986,0.184184431,0.166754822,0.04596105
North America,United States of America,Female,1987,0.189768077,0.162983991,0.046607352
North America,United States of America,Female,1988,0.195574946,0.159474846,0.047282059
North America,United States of America,Female,1989,0.201608647,0.15615401,0.048000472
North America,United States of America,Female,1990,0.207692945,0.153007303,0.04873834
North America,United States of America,Female,1991,0.213705984,0.150075475,0.049512641
North America,United States of America,Female,1992,0.219830693,0.147352211,0.050313103
North America,United States of America,Female,1993,0.225950759,0.144800951,0.051133153
North America,United States of America,Female,1994,0.23221012,0.142366851,0.051986014
North America,United States of America,Female,1995,0.238524744,0.140049823,0.052860272
North America,United States of America,Female,1996,0.244973402,0.137825711,0.05374673
North America,United States of America,Female,1997,0.251551306,0.135660973,0.054618061
North America,United States of America,Female,1998,0.258236094,0.133597783,0.055485641
North America,United States of America,Female,1999,0.265037645,0.131576478,0.056343188
North America,United States of America,Female,2000,0.271820691,0.129574268,0.057158949
North America,United States of America,Female,2001,0.278314882,0.127575095,0.057915741
North America,United States of America,Female,2002,0.284526046,0.12559997,0.05857671
North America,United States of America,Female,2003,0.290561005,0.123666227,0.059168026
North America,United States of America,Female,2004,0.296507543,0.121780445,0.059691196
North America,United States of America,Female,2005,0.3023179,0.119995887,0.060157547
North America,United States of America,Female,2006,0.307974274,0.118319784,0.060590028
North America,United States of America,Female,2007,0.31348065,0.116656279,0.060997458
North America,United States of America,Female,2008,0.318744564,0.115028102,0.061385363
North America,United States of America,Female,2009,0.32355857,0.113492488,0.061780509
North America,United States of America,Female,2010,0.328461191,0.112014609,0.062226214
North America,United States of America,Female,2011,0.333471876,0.11064516,0.062761677
North America,United States of America,Female,2012,0.33848086,0.109285014,0.063248376
North America,United States of America,Female,2013,0.343505201,0.107966167,0.063775682
North America,United States of America,Female,2014,0.348623887,0.10668746,0.064363376
North America,Canada,Male,1980,0.099946226,0.333077423,0.050251596
North America,Canada,Male,1981,0.103162811,0.327524311,0.050434765
North America,Canada,Male,1982,0.106336443,0.321773342,0.050621425
North America,Canada,Male,1983,0.109676237,0.316062163,0.050923482
North America,Canada,Male,1984,0.113292453,0.310345697,0.05131336
North America,Canada,Male,1985,0.117154125,0.304753648,0.051786605
North America,Canada,Male,1986,0.12112352,0.299177525,0.052301334
North America,Canada,Male,1987,0.125247993,0.293666504,0.052856122
North America,Canada,Male,1988,0.129605544,0.288325452,0.053503174
North America,Canada,Male,1989,0.134129867,0.283220749,0.054236701
North America,Canada,Male,1990,0.138725149,0.278253593,0.055022528
North America,Canada,Male,1991,0.143198418,0.273265376,0.055774517
North America,Canada,Male,1992,0.147678194,0.268233499,0.056476618
North America,Canada,Male,1993,0.152247945,0.263047176,0.057148338
North America,Canada,Male,1994,0.156992374,0.257814342,0.057773802
North America,Canada,Male,1995,0.161832277,0.252601059,0.058372306
North America,Canada,Male,1996,0.166795807,0.247308851,0.058944557
North America,Canada,Male,1997,0.17198884,0.241905626,0.059454538
North America,Canada,Male,1998,0.177474628,0.236552236,0.059923662
North America,Canada,Male,1999,0.183239225,0.231252389,0.060352212
North America,Canada,Male,2000,0.189282583,0.226036948,0.060748027
North America,Canada,Male,2001,0.19535908,0.220963354,0.061098055
North America,Canada,Male,2002,0.201457108,0.216061768,0.061428229
North America,Canada,Male,2003,0.207554627,0.211259227,0.061715587
North America,Canada,Male,2004,0.213650035,0.206612387,0.061975428
